TrialNumber,TrialNumber,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,ran,order,version,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
3,3,0,$12.00 ,-9.00,$0.00 ,lost,-9,5,1.5,1,1.0,2.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,4,0,$7.81 ,0.00,$4.10 ,lost,0,5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,0,$21.43 ,0.00,$13.29 ,won,21.43,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,0,$8.80 ,0.00,$3.60 ,lost,0,5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,0,$5.00 ,-1.88,$0.00 ,lost,-1.88,3,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,0,$13.35 ,0.00,$1.32 ,lost,0,1.5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,0,$4.00 ,-7.00,$0.00 ,won,4,1.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,0,$4.00 ,-2.00,$0.00 ,won,4,1.5,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,0,$10.00 ,-3.75,$0.00 ,lost,-3.75,5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,0,$10.00 ,-6.25,$0.00 ,won,10,3,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,0,$6.00 ,-10.50,$0.00 ,lost,-10.5,3,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,0,$12.00 ,-21.00,$0.00 ,won,12,3,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,0,$6.00 ,-9.00,$0.00 ,lost,-9,1.5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,0,$32.00 ,0.00,$0.00 ,lost,0,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,0,$4.00 ,-0.67,$0.00 ,won,4,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,0,$8.00 ,0.00,$4.00 ,lost,0,1.5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,0,$10.00 ,-11.25,$0.00 ,lost,-11.25,3,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,0,$5.00 ,-2.50,$0.00 ,lost,-2.5,3,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,0,$6.00 ,-4.50,$0.00 ,won,6,5,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,0,$22.40 ,0.00,$4.80 ,won,22.4,3,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,0,$14.49 ,0.00,$8.75 ,won,14.49,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,0,$4.00 ,-0.33,$0.00 ,won,4,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,0,$2.00 ,-3.75,$0.00 ,won,2,1.5,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,0,$9.00 ,-4.50,$0.00 ,won,9,1.5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,0,$12.00 ,-12.00,$0.00 ,won,12,5,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,0,$12.00 ,-18.00,$0.00 ,lost,-18,1.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,0,$6.00 ,-7.50,$0.00 ,lost,-7.5,1.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,0,$2.00 ,-3.25,$0.00 ,won,2,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,0,$17.38 ,0.00,$7.31 ,lost,0,3,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,0,$8.00 ,-2.00,$0.00 ,won,8,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,TrialNumber,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,ran,order,version,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
1,1,0,HI- S1 --2,-0.75,$0.00 ,won,$2.00,1.5,1.5,1,1.0,0.0,0.0,7.403039,6.0,9.409129,9.923843,2.0060902,0.006090152,0.5147143,10.029047,0.6199178,-1.3800822,13.12665,3.0852857,3.097603,0.01231738,13.140842,1.0004013,0.000401248,14.141244,6.738205,14.156859,got here,15.657079,1.5,1.5002192,0.000219273
2,2,0,$5.00 ,-3.13,$0.00 ,lost,-$3.13,1.5,1.5,1,1.0,1.0,0.0,15.672033,6.0,17.67386,18.873451,2.0018268,0.001826873,1.1995924,18.978092,1.3042322,-0.6957677,21.391897,2.4004076,2.4138043,0.013396733,21.407108,1.0012957,0.0012956581,22.408403,6.736371,22.423784,got here,23.924232,1.5,1.5004485,0.00044844
3,3,0,$12.00 ,-9,$0.00 ,lost,-$9.00,5,1.5,1,1.0,2.0,0.0,23.939335,6.0,25.941326,26.323933,2.0019908,0.001990913,0.38260755,26.428345,0.48701918,-1.5129808,33.158882,6.7173924,6.730537,0.013144707,33.173595,1.0011814,0.001181412,34.174774,10.23544,34.190582,got here,35.691807,1.5,1.5012268,0.001226726
4,4,0,$7.81 ,0,$4.10 ,lost,$0.00,5,3,1,1.0,3.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,0,$21.43 ,0,$13.29 ,won,$21.43,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,0,$8.80 ,0,$3.60 ,lost,$0.00,5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,0,$5.00 ,-1.88,$0.00 ,lost,-$1.88,3,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,0,$13.35 ,0,$1.32 ,lost,$0.00,1.5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,0,$4.00 ,-7,$0.00 ,won,$4.00,1.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,0,$4.00 ,-2,$0.00 ,won,$4.00,1.5,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,0,$10.00 ,-3.75,$0.00 ,lost,-$3.75,5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,0,$10.00 ,-6.25,$0.00 ,won,$10.00,3,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,0,$6.00 ,-10.5,$0.00 ,lost,-$10.50,3,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,0,$12.00 ,-21,$0.00 ,won,$12.00,3,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,0,$6.00 ,-9,$0.00 ,lost,-$9.00,1.5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,0,$32.00 ,0,$0.00 ,lost,$0.00,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,0,$4.00 ,-0.67,$0.00 ,won,$4.00,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,0,$8.00 ,0,$4.00 ,lost,$0.00,1.5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,0,$10.00 ,-11.25,$0.00 ,lost,-$11.25,3,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,0,$5.00 ,-2.5,$0.00 ,lost,-$2.50,3,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,0,$6.00 ,-4.5,$0.00 ,won,$6.00,5,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,0,$22.40 ,0,$4.80 ,won,$22.40,3,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,0,$14.49 ,0,$8.75 ,won,$14.49,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,0,$4.00 ,-0.33,$0.00 ,won,$4.00,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,0,$2.00 ,-3.75,$0.00 ,won,$2.00,1.5,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,0,$9.00 ,-4.5,$0.00 ,won,$9.00,1.5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,0,$12.00 ,-12,$0.00 ,won,$12.00,5,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,0,$12.00 ,-18,$0.00 ,lost,-$18.00,1.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,0,$6.00 ,-7.5,$0.00 ,lost,-$7.50,1.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,0,$2.00 ,-3.25,$0.00 ,won,$2.00,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,0,$17.38 ,0,$7.31 ,lost,$0.00,3,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
