TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI_s,ITI_s,block,Partner,ran,order,onset,bpress,resp,resp_onset,rt,ISIpad,ISI_onset,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
30,30,$2.00 ,($3.25),$0.00 ,won,$2.00 ,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,$17.38 ,$0.00 ,$7.31 ,lost,$0.00 ,3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,$8.00 ,($2.00),$0.00 ,won,$8.00 ,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,$5.00 ,($5.63),$0.00 ,won,$5.00 ,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,$24.92 ,$0.00 ,$11.54 ,lost,$0.00 ,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,$8.00 ,($13.00),$0.00 ,won,$8.00 ,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,$10.67 ,$0.00 ,$10.67 ,won,$10.67 ,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
37,37,$24.21 ,$0.00 ,$11.89 ,lost,$0.00 ,1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
38,38,$12.00 ,($24.00),$0.00 ,won,$12.00 ,3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
39,39,$2.00 ,($2.75),$0.00 ,won,$2.00 ,3,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
40,40,$9.00 ,($13.50),$0.00 ,lost,($13.50),1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
41,41,$5.00 ,($4.38),$0.00 ,won,$5.00 ,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
42,42,$2.00 ,($1.75),$0.00 ,lost,($1.75),1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
43,43,$5.00 ,($8.13),$0.00 ,won,$5.00 ,3,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
44,44,$5.00 ,($6.88),$0.00 ,won,$5.00 ,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
45,45,$4.00 ,($6.00),$0.00 ,lost,($6.00),3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
46,46,$9.82 ,$0.00 ,$3.09 ,lost,$0.00 ,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
47,47,$8.49 ,$0.00 ,$3.76 ,won,$8.49 ,1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
