TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,Partner,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
52,52,$15.28 ,$0.00 ,$8.36 ,won,$15.28 ,3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
53,53,$5.00 ,($0.63),$0.00 ,won,$5.00 ,1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
54,54,$9.00 ,($2.25),$0.00 ,lost,($2.25),1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
55,55,$10.00 ,($8.75),$0.00 ,lost,($8.75),3,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
56,56,$15.86 ,$0.00 ,$8.07 ,lost,$0.00 ,3,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
57,57,$26.76 ,$0.00 ,$10.62 ,lost,$0.00 ,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
58,58,$8.00 ,($5.00),$0.00 ,won,$8.00 ,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
59,59,$7.36 ,$0.00 ,$4.32 ,won,$7.36 ,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
60,60,$12.00 ,($3.00),$0.00 ,lost,($3.00),1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
61,61,$9.00 ,($15.75),$0.00 ,won,$9.00 ,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
62,62,$12.00 ,($15.00),$0.00 ,lost,($15.00),1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
63,63,$8.00 ,($1.33),$0.00 ,won,$8.00 ,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
64,64,$9.00 ,($0.75),$0.00 ,lost,($0.75),5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
65,65,$22.47 ,$0.00 ,$12.76 ,won,$22.47 ,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
66,66,$9.00 ,($9.00),$0.00 ,won,$9.00 ,3,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
67,67,$23.60 ,$0.00 ,$12.20 ,lost,$0.00 ,5,7,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
68,68,$6.00 ,($3.00),$0.00 ,won,$6.00 ,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
69,69,$25.76 ,$0.00 ,$11.12 ,lost,$0.00 ,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
70,70,$5.00 ,($5.00),$0.00 ,lost,($5.00),1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
71,71,$18.65 ,$0.00 ,$6.68 ,lost,$0.00 ,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
72,72,$4.00 ,($4.00),$0.00 ,lost,($4.00),3,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
73,73,$8.00 ,($9.00),$0.00 ,lost,($9.00),5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
74,74,$10.00 ,($16.25),$0.00 ,lost,($16.25),1.5,7,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
75,75,$10.00 ,($1.25),$0.00 ,won,$10.00 ,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
76,76,$8.00 ,($6.00),$0.00 ,lost,($6.00),5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
77,77,$8.00 ,($3.00),$0.00 ,won,$8.00 ,3,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
78,78,$10.00 ,($13.75),$0.00 ,won,$10.00 ,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
79,79,$31.29 ,$0.00 ,$8.36 ,won,$31.29 ,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
80,80,$9.00 ,($6.75),$0.00 ,won,$9.00 ,3,7,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
81,81,$4.00 ,($3.00),$0.00 ,lost,($3.00),3,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
82,82,$6.00 ,($1.50),$0.00 ,lost,($1.50),3,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
83,83,$6.00 ,($12.00),$0.00 ,lost,($12.00),1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
84,84,$2.00 ,($2.25),$0.00 ,won,$2.00 ,1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
