TrialNumber,Trial_num,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
27,27,0,$12.00 ,-$12.00,$0.00 ,won,$12.00,5,7,1,1.0,26.0,381.37054,1.0,383.37085,383.4955,2.0003014,0.00030138402,0.124688625,383.60022,0.22939457,-1.7706054,390.5795,6.9753113,6.9792514,0.003939887,390.586,1.0009465,0.000946544,391.58694,10.216401,391.59387,got here,398.59448,7.0,7.000587,0.000587212
28,28,0,$12.00 ,-$18.00,$0.00 ,lost,-$18.00,1.5,3,1,1.0,27.0,398.60687,1.0,400.60913,400.84982,2.0022418,0.002241776,0.24069475,400.95496,0.3458272,-1.6541728,404.31796,3.3593051,3.3630095,0.003704246,404.32437,1.0011806,0.001180704,405.32556,6.718676,405.3325,got here,408.3329,3.0,3.000398,0.000397806
29,29,0,$6.00 ,-$7.50,$0.00 ,lost,-$7.50,1.5,3,1,1.0,28.0,408.34628,1.0,410.34796,410.5891,2.0016675,0.00166741,0.2411547,410.6935,0.34557566,-1.6544243,414.05753,3.3588452,3.3640141,0.005168889,414.06308,1.0006908,0.000690837,415.06378,6.7174973,415.07162,got here,418.07272,3.0,3.0010707,0.001070692
30,30,0,$2.00 ,-$3.25,$0.00 ,won,$2.00,1.5,1.5,1,1.0,29.0,418.0864,1.0,420.09528,420.46158,2.0088747,0.008874555,0.36632028,420.56616,0.47089475,-1.5291053,423.8044,3.2336798,3.2382526,0.004572862,423.81036,1.0005149,0.00051483,424.81088,6.724472,424.8188,got here,426.32,1.5,1.501238,0.001237961
31,31,0,$17.38 ,$0.00,$7.31 ,lost,$0.00,3,1.5,1,1.0,30.0,426.33472,5.0,428.3427,428.4675,2.0080009,0.008000815,0.12476863,428.57224,0.22953182,-1.7704682,433.56018,4.975231,4.9879436,0.012712181,433.56537,1.0009463,0.00094633596,434.5663,8.231587,434.57468,got here,436.07526,1.5,1.5005976,0.000597585
32,32,0,$8.00 ,-$2.00,$0.00 ,won,$8.00,1.5,1.5,1,1.0,31.0,436.09,6.0,438.09796,438.3476,2.007966,0.007966076,0.24963665,438.45282,0.35484847,-1.6451515,441.81494,3.3503633,3.36215,0.011786487,441.82178,1.0006812,0.000681185,442.82248,6.7324786,442.82983,last trial of block,448.33118,5.5,5.5013433,0.001343134
33,33,0,$5.00 ,-$5.63,$0.00 ,won,$5.00,5,1.5,2,1.0,32.0,665.09735,5.0,667.10223,667.33514,2.004909,0.004909087,0.23292205,667.43964,0.33740446,-1.6625955,674.31134,6.867078,6.8717217,0.004643899,674.31836,1.0012355,0.001235527,675.31964,10.222283,675.3253,got here,676.8265,1.5,1.5011431,0.001143139
34,34,0,$24.92 ,$0.00,$11.54 ,lost,$0.00,1.5,5,2,1.0,33.0,676.84106,6.0,678.8412,679.0823,2.0001144,0.00011433402,0.24109577,679.1873,0.34613216,-1.6538678,682.5588,3.3589041,3.371432,0.01252795,682.5646,1.0002713,0.000271288,683.5648,6.7237387,683.5732,got here,688.57446,5.0,5.001283,0.001283293
35,35,0,$8.00 ,-$13.00,$0.00 ,won,$8.00,1.5,3,2,1.0,34.0,688.5894,1.0,690.5968,690.838,2.0074203,0.007420352,0.24120352,690.9425,0.34569907,-1.6543009,694.30634,3.3587966,3.3638382,0.005041657,694.3117,1.0010628,0.0010627611,695.31274,6.723379,695.31995,got here,698.3203,3.0,3.000403,0.000402988
36,36,0,$10.67 ,$0.00,$10.67 ,won,$10.67,5,1.5,2,1.0,35.0,698.3351,6.0,700.33563,700.5775,2.0005803,0.000580294,0.24186409,700.682,0.34635463,-1.6536454,707.54456,6.8581357,6.862562,0.004426476,707.5489,1.0011028,0.001102755,708.55,10.214932,708.55817,got here,710.0594,1.5,1.5012236,0.0012235569
