Subject,SubName,Condition,SNS,SubTrial,Sex,Age,TrialType,Response,RT,RealOutcome,ScheduledOutcome,GambleAmount,Amount1,Amount2,Certain,Include,IRI_Total,IRI_EC,IRI_PT,IRI_distress,IRI_fantasy,MPSS_Total,MPSS_friend,RSE
1,153,0,0,25,1,19,1,1,58,1,1,2,2,-0.75,0,1,,,,,,,,
1,153,0,0,26,1,19,1,1,600,0,0,-6,12,-6,0,1,,,,,,,,
1,153,0,0,27,1,19,0,1,382,0,0,0,8,0,3,1,,,,,,,,
1,153,0,0,28,1,19,1,1,43,1,1,8,8,-6,0,1,,,,,,,,
1,153,0,0,29,1,19,1,0,1473,3,0,-5,4,-5,0,1,,,,,,,,
1,153,0,0,30,1,19,1,1,831,0,0,-6,6,-6,0,1,,,,,,,,
1,153,0,0,1,1,19,1,1,1083,1,1,9,9,-11.25,0,1,,,,,,,,
1,153,0,0,2,1,19,1,0,23,3,1,12,12,-21,0,1,,,,,,,,
1,153,0,0,3,1,19,1,,,,1,5,5,-6.88,0,1,,,,,,,,
1,153,0,0,4,1,19,1,1,819,0,0,-3,12,-3,0,1,,,,,,,,
1,153,0,0,5,1,19,0,0,97,3,1,5,5,0,2,1,,,,,,,,
1,153,0,0,6,1,19,1,1,679,0,0,-6.75,9,-6.75,0,1,,,,,,,,
1,153,0,0,7,1,19,0,,,,0,0,26,0,10,1,,,,,,,,
1,153,0,0,8,1,19,1,1,1082,1,1,8,8,-3,0,1,,,,,,,,
1,153,0,0,9,1,19,0,0,944,3,1,19,19,0,8,1,,,,,,,,
1,153,0,0,10,1,19,0,,,,0,0,25,0,10,1,,,,,,,,
1,153,0,0,11,1,19,1,1,347,0,0,-1.88,5,-1.88,0,1,,,,,,,,
1,153,0,0,12,1,19,1,1,1464,0,0,-2.75,2,-2.75,0,1,,,,,,,,
1,153,0,0,13,1,19,1,0,1798,3,1,2,2,-1.75,0,1,,,,,,,,
1,153,0,0,14,1,19,1,1,715,0,0,-11.25,10,-11.25,0,1,,,,,,,,
1,153,0,0,15,1,19,0,1,671,0,0,0,5,0,3,1,,,,,,,,
1,153,0,0,16,1,19,1,1,1485,1,1,9,9,-2.25,0,1,,,,,,,,
1,153,0,0,17,1,19,1,1,634,0,0,-11,8,-11,0,1,,,,,,,,
1,153,0,0,18,1,19,1,0,473,3,1,4,4,-3,0,1,,,,,,,,
1,153,0,0,19,1,19,1,1,1198,1,1,6,6,-1.5,0,1,,,,,,,,
1,153,0,0,20,1,19,1,0,572,3,0,-13.5,9,-13.5,0,1,,,,,,,,
1,153,0,0,21,1,19,1,1,258,0,0,-5.63,5,-5.63,0,1,,,,,,,,
1,153,0,0,22,1,19,1,1,399,0,0,-3,6,-3,0,1,,,,,,,,
1,153,0,0,23,1,19,1,,,,1,10,10,-16.25,0,1,,,,,,,,
1,153,0,0,24,1,19,1,1,466,1,1,5,5,-2.5,0,1,,,,,,,,
