TrialNumber,Trial_num,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift,,,
34,34,0,$24.92 ,$0.00 ,$11.54 ,lost,$0.00 ,1.5,5,2,1,33,370.68164,1,372.68497,373.18582,2.0033236,0.003323643,0.5008558,373.29932,0.61434674,-1.3856533,376.42166,3.0991442,3.122347,0.023203017,376.44525,1.0008982,0.000898183,377.44617,6.764504,377.46466,got here,382.4658,5,5.001115,0.001114752,,,
35,35,0,$8.00 ,($13.00),$0.00 ,won,$8.00 ,1.5,3,2,1,34,382.48557,1,384.50018,384.9002,2.0146105,0.014610489,0.4000183,385.01102,0.5108248,-1.4891752,388.21832,3.1999817,3.2073007,0.007318919,388.22623,1.0018507,0.00185078,389.2281,6.7425027,389.24692,got here,392.24762,3,3.000707,0.000706955,,,
36,36,0,$10.67 ,$0.00 ,$10.67 ,won,$10.67 ,5,1.5,2,1,35,392.2735,2,394.27597,394.6597,2.00247,0.002469905,0.38372725,394.76923,0.49325505,-1.506745,401.4939,6.716273,6.7246723,0.008399589,401.5117,1.0001417,0.000141781,402.5118,10.238325,402.5316,got here,404.03278,1.5,1.5011843,0.00118437,,,
37,37,0,$24.21 ,$0.00 ,$11.89 ,lost,$0.00 ,1.5,1.5,2,1,36,404.05093,1,406.05743,406.44128,2.0065103,0.006510235,0.38384545,406.55066,0.49319953,-1.5068005,409.77576,3.2161546,3.2251055,0.008950888,409.7859,1.0003625,0.000362481,410.78622,6.7353024,410.80417,got here,412.30493,1.5,1.5007602,0.000760186,,,
38,38,0,$12.00 ,($24.00),$0.00 ,won,$12.00 ,3,1.5,2,1,37,412.33353,2,414.34647,415.43192,2.0129213,0.012921278,1.0854591,415.54303,1.1965669,-0.8034331,419.5643,4.0145407,4.021262,0.006721512,419.57797,1.0011842,0.001184205,420.57916,8.245614,420.5966,got here,422.0977,1.5,1.5011028,0.001102754,,,
39,39,0,$2.00 ,($2.75),$0.00 ,won,$2.00 ,3,5,2,1,38,422.1148,1,424.1223,424.52304,2.0074916,0.007491637,0.40074152,424.63748,0.5151698,-1.4848303,429.35654,4.6992583,4.7190742,0.019815685,429.36935,1.0007265,0.000726437,430.3701,8.255277,430.38858,got here,435.3893,5,5.00072,0.000719858,,,
40,40,0,$9.00 ,($13.50),$0.00 ,lost,($13.50),1.5,3,2,1,39,435.40866,2,437.42416,437.80835,2.0155118,0.015511839,0.38419408,437.92096,0.49679622,-1.5032037,441.15872,3.215806,3.237766,0.021960093,441.16736,1.0007302,0.000730175,442.1681,6.759445,442.18695,got here,445.1879,3,3.0009406,0.000940629,,,
41,41,0,$5.00 ,($4.38),$0.00 ,won,$5.00 ,5,1.5,2,1,40,445.20517,1,447.21698,447.3671,2.0118136,0.01181366,0.15013313,447.47656,0.2595827,-1.7404172,454.4347,6.949867,6.9581313,0.008264337,454.45297,1.0004377,0.000437782,455.4534,10.248249,455.47314,got here,456.97443,1.5,1.5012823,0.00128235,,,
42,42,0,$2.00 ,($1.75),$0.00 ,lost,($1.75),1.5,7,2,1,41,456.99286,1,458.9989,459.14853,2.0060494,0.00604934,0.1496165,459.2586,0.25967425,-1.7403257,462.7171,3.4503834,3.4585168,0.008133456,462.72717,1.0014247,0.001424652,463.7286,6.73573,463.74445,got here,470.74554,7,7.0010896,0.001089533,,,
43,43,0,$5.00 ,($8.13),$0.00 ,won,$5.00 ,3,3,2,1,42,470.76288,1,472.76883,473.1529,2.0059342,0.005934216,0.38407844,473.26602,0.4972027,-1.5027974,478.00323,4.7159214,4.7372136,0.02129186,478.01602,1.0011157,0.001115714,479.01712,8.254241,479.05753,got here,482.05817,3,3.0006542,0.00065421,,,
44,44,0,$5.00 ,($6.88),$0.00 ,won,$5.00 ,1.5,5,2,1,43,482.07306,2,484.08267,484.24918,2.0096111,0.009611068,0.16649033,484.36374,0.281049,-1.718951,487.81726,3.4335096,3.4535487,0.020038908,487.82547,1.0008416,0.000841606,488.82632,6.753262,488.8449,got here,493.84628,5,5.001366,0.001366099,,,
45,45,0,$4.00 ,($6.00),$0.00 ,lost,($6.00),3,1.5,2,1,44,493.8639,1,495.8638,496.3645,1.9999056,-9.44E-05,0.5007163,496.47412,0.6103188,-1.3896812,501.08218,4.5992837,4.6080866,0.008802774,501.09402,1.0008564,0.000856385,502.09488,8.231,502.11374,got here,503.61447,1.5,1.5007522,0.000752264,,,
46,46,0,$9.82 ,$0.00 ,$3.09 ,lost,$0.00 ,1.5,3,2,1,45,503.63358,1,505.64145,506.0239,2.0078707,0.007870631,0.38244775,506.13306,0.49161023,-1.5083898,509.3594,3.2175522,3.2263384,0.008786108,509.36633,1.0010983,0.001098289,510.36743,6.7338557,510.38562,got here,513.3864,3,3.0007758,0.000775902,,,
47,47,0,$8.49 ,$0.00 ,$3.76 ,won,$8.49 ,1.5,1.5,2,1,46,513.4037,1,515.416,515.56616,2.0123124,0.012312352,0.1501598,515.67505,0.25908148,-1.7409185,519.1342,3.4498403,3.4591446,0.00930451,519.14233,1.0011071,0.001107138,520.14343,6.739768,520.16174,got here,521.66223,1.5,1.5004596,0.000459591,,,
48,48,0,$13.25 ,$0.00 ,$9.37 ,won,$13.25 ,1.5,7,2,1,47,521.6789,1,523.6881,524.18915,2.009226,0.009226024,0.5010225,524.30164,0.6135153,-1.3864846,527.4052,3.0989776,3.1036205,0.004643156,527.4146,1.0009717,0.000971656,528.4156,6.7366934,528.4339,got here,535.4345,7,7.000626,0.000626313,,,
49,49,0,$8.00 ,($7.00),$0.00 ,lost,($7.00),5,1.5,2,1,48,535.4543,1,537.45825,537.72504,2.0040014,0.004001348,0.26677105,537.83356,0.37528193,-1.6247181,544.6765,6.833229,6.8429494,0.009720543,544.69434,1.0005121,0.000512077,545.6948,10.240563,545.71387,got here,547.2146,1.5,1.5007108,0.000710833,,,
50,50,0,$16.79 ,$0.00 ,$7.60 ,lost,$0.00 ,3,1.5,2,1,49,547.23413,2,549.24,549.38947,2.005899,0.00589901,0.14947307,549.4979,0.25792432,-1.7420757,554.4575,4.9505267,4.9595995,0.009072584,554.47015,1.000688,0.000687991,555.4708,8.236747,555.491,got here,556.9917,1.5,1.5006529,0.000652922,,,
51,51,0,$2.00 ,($1.25),$0.00 ,lost,($1.25),1.5,7,2,1,50,557.0114,1,559.01575,559.51685,2.0043435,0.004343445,0.5010892,559.62665,0.6109151,-1.3890849,562.73395,3.0989108,3.1073174,0.008406595,562.7421,1.0004994,0.000499358,563.7426,6.731234,563.7616,got here,570.76245,7,7.000876,0.000875818,,,
52,52,0,$15.28 ,$0.00 ,$8.36 ,won,$15.28 ,3,1.5,2,1,51,570.7819,2,572.78577,573.2868,2.0038567,0.003856763,0.50103366,573.39624,0.61045945,-1.3895406,578.00397,4.5989666,4.607696,0.008729589,578.0161,1.0013952,0.001395179,579.0175,8.235558,579.0356,got here,580.53644,1.5,1.5008149,0.000814971,,,
53,53,0,$5.00 ,($0.63),$0.00 ,won,$5.00 ,1.5,7,2,1,52,580.5551,999,582.5619,584.5672,2.0067322,0.006732331,2.005316,584.6762,2.1143253,0.11432534,586.2797,1.594684,1.6035362,0.008852151,586.28876,1.0008734,0.000873504,587.2896,6.7344713,587.3078,got here,594.30865,7,7.0008473,0.000847217,,,
54,54,0,$9.00 ,($2.25),$0.00 ,lost,($2.25),1.5,1.5,2,1,53,594.3266,2,596.3322,596.71606,2.005607,0.00560687,0.38387397,596.8259,0.49371532,-1.5062847,600.04987,3.216126,3.223954,0.007827928,600.05853,1.0006261,0.00062604,601.05914,6.7325606,601.0779,got here,602.57837,1.5,1.5004516,0.000451603,,,
55,55,0,$10.00 ,($8.75),$0.00 ,lost,($8.75),3,3,2,1,54,602.59576,1,604.6043,605.12195,2.0085294,0.008529494,0.5176245,605.23865,0.6343204,-1.3656796,609.8387,4.5823755,4.6000648,0.017689079,609.8519,1.0002823,0.000282277,610.85223,8.256435,610.87164,got here,613.87286,3,3.0012314,0.001231384,,,
56,56,0,$15.86 ,$0.00 ,$8.07 ,lost,$0.00 ,3,3,2,1,55,613.8941,2,615.9022,616.8041,2.0081298,0.008129901,0.90184647,616.92316,1.020938,-0.979062,621.1385,4.1981535,4.2153306,0.017176868,621.1486,1.0013082,0.001308176,622.1499,8.255821,622.16815,got here,625.1693,3,3.0011473,0.001147271,,,
57,57,0,$26.76 ,$0.00 ,$10.62 ,lost,$0.00 ,5,1.5,2,1,56,625.1878,2,627.1984,628.51764,2.010632,0.010632042,1.3192197,628.6268,1.4283624,-0.5716376,634.4159,5.7807803,5.7890983,0.008317844,634.43384,1.0003811,0.000381057,635.43427,10.24645,635.4537,got here,636.9545,1.5,1.5008357,0.000835678,,,
58,58,0,$8.00 ,($5.00),$0.00 ,won,$8.00 ,1.5,5,2,1,57,636.9732,2,638.9791,639.7309,2.0059414,0.005941438,0.75176305,639.8418,0.86269337,-1.1373067,642.6975,2.848237,2.8557165,0.007479415,642.70557,1.0007738,0.000773774,643.70636,6.7331867,643.7251,got here,648.72833,5,5.003201,0.003200779,,,
59,59,0,$7.36 ,$0.00 ,$4.32 ,won,$7.36 ,1.5,5,2,1,58,648.74994,1,650.7607,651.0277,2.0106833,0.01068332,0.26708007,651.13666,0.37598136,-1.6240187,654.4788,3.3329198,3.3421974,0.009277496,654.4871,1.0009468,0.000946795,655.4881,6.7381263,655.5067,got here,660.508,5,5.0013027,0.001302719,,,
60,60,0,$12.00 ,($3.00),$0.00 ,lost,($3.00),1.5,5,2,1,59,660.52747,1,662.54224,662.80975,2.014763,0.014763005,0.26749155,662.9196,0.3773774,-1.6226226,666.2601,3.3325086,3.3404527,0.007944187,666.2687,1.0007588,0.00075876,667.2694,6.7419596,667.2882,got here,672.28864,5,5.0004263,0.000426132,,,
61,61,0,$9.00 ,($15.75),$0.00 ,won,$9.00 ,1.5,3,2,1,60,672.306,2,674.3078,674.5743,2.0017617,0.001761698,0.26649222,674.6829,0.37514108,-1.624859,678.0252,3.3335078,3.342283,0.008775257,678.0335,1.000555,0.000555084,679.03406,6.7280664,679.0529,got here,682.0542,3,3.0013018,0.001301873,,,
62,62,0,$12.00 ,($15.00),$0.00 ,lost,($15.00),1.5,1.5,2,1,61,682.07086,2,684.08325,684.46735,2.012368,0.012367897,0.3841146,684.5781,0.49485296,-1.5051471,687.8012,3.2158854,3.2230816,0.007196066,687.8094,1.0008255,0.000825577,688.8102,6.7393293,688.8289,got here,690.32916,1.5,1.5002354,0.000235478,,,
63,63,0,$8.00 ,($1.33),$0.00 ,won,$8.00 ,1.5,3,2,1,62,690.34546,1,692.3554,692.5053,2.0099726,0.009972514,0.1498558,692.61395,0.2585374,-1.7414626,696.073,3.4501443,3.459048,0.008903738,696.0817,1.0007238,0.000723864,697.08246,6.7369957,697.1009,got here,700.10175,3,3.0008657,0.000865643,,,
64,64,0,$9.00 ,($0.75),$0.00 ,lost,($0.75),5,1.5,2,1,63,700.11786,2,702.1311,702.2813,2.013251,0.013250979,0.15019277,702.3916,0.26045015,-1.7395499,709.3484,6.949807,6.956806,0.006998892,709.3673,1.0003796,0.000379593,710.3677,10.249799,710.38654,last trial of block,710.3866,nan,1.90E-05,nan,,,
65,65,0,$22.47 ,$0.00 ,$12.76 ,won,$22.47 ,1.5,3,3,1,64,711.5172,2,713.5283,713.9124,2.0110664,0.011066553,0.38409323,714.0247,0.49642235,-1.5035776,717.2459,3.2159069,3.221201,0.005294051,717.25464,1.0011669,0.001166893,718.2558,6.738596,718.2741,got here,721.2746,3,3.0005345,0.000534579,,,
66,66,0,$9.00 ,($9.00),$0.00 ,won,$9.00 ,3,1.5,3,1,65,721.2944,2,723.3046,723.6886,2.0102336,0.010233665,0.3840011,723.7973,0.49272853,-1.5072715,728.5224,4.715999,4.725044,0.009044835,728.535,1.0008307,0.000830668,729.5358,8.241467,729.5543,got here,731.05444,1.5,1.5001342,0.000134176,,,
67,67,0,$23.60 ,$0.00 ,$12.20 ,lost,$0.00 ,5,7,3,1,66,731.0728,2,733.08075,733.23114,2.0079198,0.007919831,0.15037967,733.343,0.26229557,-1.7377044,740.3147,6.9496202,6.9716525,0.022032298,740.33344,1.0003942,0.000394223,741.3338,10.261001,741.3527,got here,748.3529,7,7.0002065,0.000206591,,,
68,68,0,$6.00 ,($3.00),$0.00 ,won,$6.00 ,1.5,3,3,1,67,748.3731,1,750.37665,750.76056,2.003536,0.003535967,0.38391107,750.87085,0.4942092,-1.5057908,754.0941,3.216089,3.2232473,0.007158379,754.10333,1.0006398,0.000639827,755.104,6.7308626,755.12244,got here,758.1226,3,3.0001998,0.000199875,,,
69,69,0,$25.76 ,$0.00 ,$11.12 ,lost,$0.00 ,1.5,3,3,1,68,758.14136,2,760.1531,760.55365,2.0117497,0.01174966,0.40058577,760.66504,0.5119555,-1.4880445,763.8713,3.1994143,3.2062335,0.006819331,763.8796,1.0001632,0.000163201,764.87976,6.738432,764.8987,got here,767.89996,3,3.0012846,0.001284498,,,
70,70,0,$5.00 ,($5.00),$0.00 ,lost,($5.00),1.5,5,3,1,69,767.9188,1,769.92914,770.313,2.0103514,0.010351518,0.38386333,770.4227,0.49359757,-1.5064025,773.6473,3.2161367,3.2245405,0.008403906,773.6556,1.014265,0.014264892,774.66986,6.751044,774.69165,got here,779.69293,5,5.0012712,0.001271478,,,
71,71,0,$18.65 ,$0.00 ,$6.68 ,lost,$0.00 ,1.5,3,3,1,70,779.71216,2,781.72723,782.2282,2.0150158,0.015015912,0.5010122,782.3382,0.61096627,-1.3890337,785.44556,3.0989878,3.1073804,0.00839261,785.45374,1.0001408,0.000140745,786.45386,6.7416906,786.4731,got here,789.47437,3,3.0012958,0.001295732,,,
72,72,0,$4.00 ,($4.00),$0.00 ,lost,($4.00),3,5,3,1,71,789.4949,2,791.50336,791.7702,2.0085158,0.008515731,0.2668519,791.87885,0.37549853,-1.6245015,796.72095,4.833148,4.842104,0.008955778,796.73364,1.0010172,0.001017182,797.7347,8.239814,797.7531,got here,802.75446,5,5.0013595,0.001359371,,,
73,73,0,$8.00 ,($9.00),$0.00 ,lost,($9.00),5,1.5,3,1,72,802.771,2,804.77246,805.6241,2.0014884,0.001488347,0.8516115,805.73315,0.9606928,-1.0393071,811.9903,6.2483883,6.2571383,0.008749554,812.00836,1.0004762,0.000476297,813.00885,10.237852,813.02716,got here,814.52844,1.5,1.5012286,0.001228523,,,
74,74,0,$10.00 ,($16.25),$0.00 ,lost,($16.25),1.5,7,3,1,73,814.5451,1,816.5538,817.1713,2.0086396,0.008639542,0.6175457,817.27997,0.7261972,-1.2738028,820.2725,2.9824543,2.9925356,0.010081398,820.2801,1.0007328,0.000732827,821.2808,6.735666,821.29944,got here,828.3,7,7.000555,0.000554895,,,
